name,    index,   mass,    sigma,     epsilon
H,       1,    1.0079,   1.32,    0.000954
He,      2,    4.0026,   2.8,     0.00088
Li,      3,    6.941,    2.4,     0.04
C,       6,   12.0107,   2.0,     0.0030354
N,       7,   14.0067,   1.85,    0.0086728
O,       8,   15.9994,   1.7,     0.0052036
F,       9,   18.9984,   2.83,    0.0045
Ne,     10,   20.1797,   2.72,    0.00405
Na,     11,   22.9898,   2.8,     0.05
Mg,     12,   24.3050,   2.8,     0.05
Al,     13,   26.9815,   2.6,     0.242
Si,     14,   28.0855,   2.4,     0.01
P,      15,   30.97376,  2.15,    0.025368
S,      16,   32.065,    2.0,     0.0195138
Cl,     17,   35.453,    3.35,    0.0149
Ar,     18,   39.948,    3.405,   0.01
K,      19,   39.0983,   3.0,     0.05
Ca,     20,   40.078,    2.62,    0.53
Sc,     21,   44.95591,  2.9,     0.5
Ti,     22,   47.867,    2.62,    0.53
V,      23,   50.9415,   2.62,    0.53
Cr,     24,   51.9961,   2.5,     0.41
Fe,     26,   55.845,    2.3,     0.38
Co,     27,   58.9332,   2.3,     0.32
Ni,     28,   58.6934,   2.3,     0.32
Cu,     29,   63.546,    2.3377,  0.4093
Zn,     30,   65.409,    2.45,    0.4
Br,     35,   79.904,    3.54,    0.022
Kr,     36,   83.798,    3.83,    0.014
Rb,     37,   85.4678,   3.2,     0.1
Y,      39,   88.9059,   2.19,    0.1
Nb,     41,   92.90638,  2.86,    0.76
Mo,     42,   95.94,     2.73,    0.68
Pd,     46,  106.42,     2.45,    0.28
Ag,     47,  107.8682,   2.66,    0.325
Xe,     54,  131.293,    4.0,     0.02
Cs,     55,  132.90545,  3.5,     0.5
Ba,     56,  137.327,    2.68,    0.5
Ta,     73,  180.9479,   2.86,    0.81
W,      74,  183.84,     2.74,    0.89
Pt,     78,  195.078,    2.5,     0.42
Au,     79,  196.96655,  2.65,    0.1
